priority_rank,company_id,propensity_score,converted_30d_actual,signal_1,signal_2,signal_3,EMPLOYEE_RANGE,ALEXA_RANK,INDUSTRY,llm_sales_brief
1434,1530,0.025,,Pct Actions Crm Companies 30D (SHAP: +0.032),High CONTACTS users (14d) (SHAP: +0.009),Actions Crm Companies Per User 60D (SHAP: +0.005),1.0,3264256.0,UNKNOWN,
1435,2897,0.025,,Accelerating usage growth (SHAP: +0.066),High USERS users (7d) (SHAP: +0.047),Recently active (SHAP: +0.035),125.0,35766.0,EDUCATION,
1436,1454,0.025,,Strong web presence (low Alexa rank) (SHAP: +2.436),Company size signal (SHAP: +0.868),Recent platform activity (SHAP: +0.258),8.0,8007090.0,UNKNOWN,
1437,550,0.025,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.136),High USERS users (7d) (SHAP: +0.052),600.0,41935.0,INFORMATION SERVICES,
1438,1366,0.025,,Strong web presence (low Alexa rank) (SHAP: +2.436),Company size signal (SHAP: +0.868),Recent platform activity (SHAP: +0.258),8.0,8045109.0,UNKNOWN,
1439,2272,0.025,,Broad multi-module adoption (SHAP: +0.437),Strong web presence (low Alexa rank) (SHAP: +0.111),High session intensity (60d) (SHAP: +0.052),3.0,16000001.0,UNKNOWN,
1440,1411,0.025,,Accelerating usage growth (SHAP: +0.069),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,121246.0,UNKNOWN,
1441,2569,0.024,,Long time on free tier (SHAP: +1.942),Accelerating usage growth (SHAP: +0.305),Recently active (SHAP: +0.265),125.0,16000001.0,MECHANICAL OR INDUSTRIAL ENGINEERING,
1442,2808,0.024,,Company size signal (SHAP: +0.276),Accelerating usage growth (SHAP: +0.072),Recently active (SHAP: +0.066),1.0,73730.0,UNKNOWN,
1443,1973,0.024,,Accelerating usage growth (SHAP: +0.069),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,127918.0,TECH,
1444,5082,0.024,,High USERS users (7d) (SHAP: +0.044),Accelerating usage growth (SHAP: +0.036),Pct Actions Crm Companies 30D (SHAP: +0.018),18.0,387438.0,AUTOMOTIVE,
1445,2678,0.024,,Long time on free tier (SHAP: +1.269),Company size signal (SHAP: +1.172),Strong web presence (low Alexa rank) (SHAP: +0.677),1.0,16000001.0,UNKNOWN,
1446,4613,0.024,,Long time on free tier (SHAP: +1.269),Company size signal (SHAP: +1.172),Strong web presence (low Alexa rank) (SHAP: +0.677),1.0,16000001.0,UNKNOWN,
1447,2159,0.024,,Accelerating usage growth (SHAP: +0.062),Recently active (SHAP: +0.061),High USERS users (7d) (SHAP: +0.049),3.0,73836.0,UNKNOWN,
1448,5006,0.024,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.136),High USERS users (7d) (SHAP: +0.052),600.0,46842.0,UNKNOWN,
1449,2736,0.024,,Accelerating usage growth (SHAP: +0.066),High USERS users (7d) (SHAP: +0.047),Recently active (SHAP: +0.035),125.0,40223.0,UNKNOWN,
1450,1600,0.024,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.136),High USERS users (7d) (SHAP: +0.052),600.0,47918.0,EDUCATION,
1451,3026,0.024,,Accelerating usage growth (SHAP: +0.069),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,136881.0,UNKNOWN,
1452,3388,0.024,,High session intensity (60d) (SHAP: +0.150),Strong web presence (low Alexa rank) (SHAP: +0.094),Recently active (SHAP: +0.054),8.0,16000001.0,UNKNOWN,
1453,3549,0.024,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.136),High USERS users (7d) (SHAP: +0.052),600.0,49667.0,EDUCATION,
1454,4773,0.024,,Broad multi-module adoption (SHAP: +0.492),Company size signal (SHAP: +0.057),Strong web presence (low Alexa rank) (SHAP: +0.049),,16000001.0,UNKNOWN,
1455,1539,0.024,,Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.052),Recently active (SHAP: +0.037),5500.0,175.0,TECH,
1456,1540,0.024,,Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.052),Recently active (SHAP: +0.037),5500.0,175.0,TECH,
1457,4839,0.024,,Long time on free tier (SHAP: +1.326),Company size signal (SHAP: +1.185),Strong web presence (low Alexa rank) (SHAP: +0.662),1.0,16000001.0,UNKNOWN,
1458,755,0.024,,Accelerating usage growth (SHAP: +0.062),High USERS users (7d) (SHAP: +0.047),High ACTIONS actions (30d) (SHAP: +0.017),8.0,795250.0,UNKNOWN,
1459,3565,0.024,,High CONTACTS actions (60d) (SHAP: +0.111),Pct Actions Crm Companies 30D (SHAP: +0.013),High CONTACTS users (14d) (SHAP: +0.011),8.0,12712.0,TECH,
1460,3424,0.024,,Long time on free tier (SHAP: +1.415),Strong web presence (low Alexa rank) (SHAP: +0.231),Recently active (SHAP: +0.071),8.0,16000001.0,IT_SERVICES,
1461,2315,0.024,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,51305.0,FINANCE,
1462,1075,0.024,,Accelerating usage growth (SHAP: +0.066),High USERS users (7d) (SHAP: +0.047),Recently active (SHAP: +0.035),125.0,44194.0,TECH,
1463,4854,0.024,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,51383.0,LEISURE TRAVEL TOURISM,
1464,1976,0.024,,Accelerating usage growth (SHAP: +0.056),High USERS users (7d) (SHAP: +0.045),Recently active (SHAP: +0.042),18.0,50019.0,IT_SERVICES,
1465,1977,0.024,,Accelerating usage growth (SHAP: +0.056),High USERS users (7d) (SHAP: +0.045),Recently active (SHAP: +0.042),18.0,50019.0,IT_SERVICES,
1466,2758,0.024,,Pct Actions Crm Companies 30D (SHAP: +0.027),High CONTACTS users (14d) (SHAP: +0.008),Actions Crm Companies Per User 60D (SHAP: +0.001),8.0,2298609.0,UNKNOWN,
1467,2100,0.024,,Accelerating usage growth (SHAP: +0.066),High USERS users (7d) (SHAP: +0.047),Recently active (SHAP: +0.035),125.0,45115.0,TECH,
1468,860,0.024,,Strong web presence (low Alexa rank) (SHAP: +0.358),Accelerating usage growth (SHAP: +0.103),Pct Actions Crm Contacts 60D (SHAP: +0.081),8.0,16000001.0,UNKNOWN,
1469,4199,0.024,,Accelerating usage growth (SHAP: +0.066),High USERS users (7d) (SHAP: +0.047),Recently active (SHAP: +0.035),125.0,45161.0,MANUFACTURING,
1470,3193,0.024,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,52635.0,EDUCATION,
1471,4768,0.024,,Company size signal (SHAP: +1.429),Strong web presence (low Alexa rank) (SHAP: +0.782),Recently active (SHAP: +0.117),1.0,16000001.0,UNKNOWN,
1472,4065,0.024,,Strong web presence (low Alexa rank) (SHAP: +0.333),Company size signal (SHAP: +0.128),Accelerating usage growth (SHAP: +0.095),8.0,5400852.0,UNKNOWN,
1473,2256,0.024,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,158823.0,TECH,
1474,4095,0.024,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,159972.0,UNKNOWN,
1475,4003,0.024,,Long time on free tier (SHAP: +0.222),High session intensity (60d) (SHAP: +0.188),Accelerating ACTIONS trend (60d) (SHAP: +0.157),8.0,16000001.0,UNKNOWN,
1476,2101,0.024,,Long active usage tenure (SHAP: +1.596),Company size signal (SHAP: +0.586),Accelerating usage growth (SHAP: +0.172),,16000001.0,UNKNOWN,
1477,2547,0.024,,Strong web presence (low Alexa rank) (SHAP: +0.335),Recently active (SHAP: +0.036),Pct Actions Crm Companies 30D (SHAP: +0.034),38.0,5708809.0,MARKETING,
1478,1693,0.024,,Company size signal (SHAP: +0.276),Accelerating usage growth (SHAP: +0.072),Recently active (SHAP: +0.066),1.0,93809.0,UNKNOWN,
1479,2936,0.023,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,166145.0,CONSUMER ELECTRONICS,
1480,268,0.023,,Strong web presence (low Alexa rank) (SHAP: +0.668),Recently active (SHAP: +0.077),Company size signal (SHAP: +0.040),3.0,8489092.0,UNKNOWN,
1481,3979,0.023,,Strong web presence (low Alexa rank) (SHAP: +0.668),Recently active (SHAP: +0.077),Company size signal (SHAP: +0.040),3.0,8519713.0,UNKNOWN,
1482,3088,0.023,,Accelerating usage growth (SHAP: +0.056),High USERS users (7d) (SHAP: +0.045),Recently active (SHAP: +0.042),18.0,54411.0,PUBLISHING,
1483,3677,0.023,,Accelerating usage growth (SHAP: +0.099),High USERS users (7d) (SHAP: +0.051),High ACTIONS actions (30d) (SHAP: +0.029),8.0,4016814.0,UNKNOWN,
1484,2858,0.023,,Accelerating usage growth (SHAP: +0.056),High USERS users (7d) (SHAP: +0.045),Recently active (SHAP: +0.042),18.0,55741.0,UNKNOWN,
1485,1129,0.023,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,59074.0,MARKETING,
1486,3977,0.023,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,175349.0,UNKNOWN,
1487,325,0.023,,Strong web presence (low Alexa rank) (SHAP: +0.794),Broad multi-module adoption (SHAP: +0.474),Company size signal (SHAP: +0.285),8.0,10529975.0,UNKNOWN,
1488,1812,0.023,,Company size signal (SHAP: +0.276),Accelerating usage growth (SHAP: +0.072),Recently active (SHAP: +0.066),1.0,100868.0,UNKNOWN,
1489,1362,0.023,,Long active usage tenure (SHAP: +1.626),Long time on free tier (SHAP: +1.283),Recently active (SHAP: +0.256),8.0,16000001.0,UNKNOWN,
1490,307,0.023,,Pct Actions Crm Companies 30D (SHAP: +0.027),High CONTACTS users (14d) (SHAP: +0.009),,125.0,2435163.0,ELECTRICAL ELECTRONIC MANUFACTURING,
1491,5080,0.023,,Long active usage tenure (SHAP: +1.626),Accelerating ACTIONS trend (60d) (SHAP: +0.677),Company size signal (SHAP: +0.191),,16000001.0,UNKNOWN,
1492,5135,0.023,,Long time on free tier (SHAP: +1.366),Strong web presence (low Alexa rank) (SHAP: +0.226),Recently active (SHAP: +0.143),3.0,16000001.0,UNKNOWN,
1493,1031,0.023,,Long time on free tier (SHAP: +1.405),Strong web presence (low Alexa rank) (SHAP: +0.238),Recently active (SHAP: +0.105),8.0,16000001.0,UNKNOWN,
1494,2318,0.023,,Strong web presence (low Alexa rank) (SHAP: +0.347),Accelerating usage growth (SHAP: +0.104),Pct Actions Crm Contacts 60D (SHAP: +0.085),8.0,16000001.0,UNKNOWN,
1495,1772,0.023,,Long time on free tier (SHAP: +1.558),Strong web presence (low Alexa rank) (SHAP: +0.151),Recently active (SHAP: +0.118),18.0,16000001.0,UNKNOWN,
1496,3883,0.023,,Broad multi-module adoption (SHAP: +0.461),High USERS users (30d) (SHAP: +0.040),High session intensity (60d) (SHAP: +0.031),8.0,16000001.0,ENERGY_UTILITIES,
1497,1174,0.023,,Strong web presence (low Alexa rank) (SHAP: +2.462),Company size signal (SHAP: +0.868),Recent platform activity (SHAP: +0.257),8.0,7638194.0,TECH,
1498,2349,0.023,,Strong web presence (low Alexa rank) (SHAP: +2.462),Company size signal (SHAP: +0.868),Recent platform activity (SHAP: +0.257),,7675598.0,UNKNOWN,
1499,4651,0.023,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,64639.0,RETAIL,
1500,1527,0.023,,Long time on free tier (SHAP: +1.557),Strong web presence (low Alexa rank) (SHAP: +0.111),Recently active (SHAP: +0.110),38.0,16000001.0,UNKNOWN,
1501,4256,0.023,,Strong web presence (low Alexa rank) (SHAP: +2.459),Company size signal (SHAP: +0.868),Recent platform activity (SHAP: +0.258),8.0,7720112.0,UNKNOWN,
1502,3991,0.023,,High session intensity (60d) (SHAP: +0.129),Strong web presence (low Alexa rank) (SHAP: +0.120),High CONTACTS actions (60d) (SHAP: +0.112),3.0,16000001.0,UNKNOWN,
1503,3007,0.023,,Strong web presence (low Alexa rank) (SHAP: +2.447),Company size signal (SHAP: +0.870),Recent platform activity (SHAP: +0.258),8.0,7744890.0,TECH,
1504,2448,0.023,,Accelerating usage growth (SHAP: +0.054),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.038),125.0,54634.0,CONSULTING,
1505,4986,0.023,,Long active usage tenure (SHAP: +1.831),Company size signal (SHAP: +0.248),Accelerating usage growth (SHAP: +0.075),,16000001.0,UNKNOWN,
1506,2648,0.023,,Strong web presence (low Alexa rank) (SHAP: +0.913),Broad multi-module adoption (SHAP: +0.618),Company size signal (SHAP: +0.242),8.0,5073802.0,SPORTS,
1507,1173,0.023,,Long active usage tenure (SHAP: +1.341),Accelerating ACTIONS trend (60d) (SHAP: +0.472),Pct Actions Crm Companies 30D (SHAP: +0.079),3.0,16000001.0,UNKNOWN,
1508,1105,0.023,,Accelerating usage growth (SHAP: +0.058),High USERS users (7d) (SHAP: +0.047),Pct Actions Crm Companies 30D (SHAP: +0.023),8.0,1046702.0,CONSULTING,
1509,2415,0.023,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),,199943.0,EDUCATION,
1510,3708,0.023,,Long active usage tenure (SHAP: +1.051),Accelerating ACTIONS trend (60d) (SHAP: +1.042),High session intensity (60d) (SHAP: +0.208),3.0,16000001.0,UNKNOWN,
1511,4575,0.023,,Long active usage tenure (SHAP: +2.272),Company size signal (SHAP: +0.657),Strong web presence (low Alexa rank) (SHAP: +0.430),5500.0,163339.0,CONSUMER SERVICES,
1512,3342,0.023,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,204242.0,TECH,
1513,3890,0.023,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,62378.0,TECH,
1514,213,0.023,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.045),Recently active (SHAP: +0.042),18.0,63856.0,ECOMMERCE,
1515,1483,0.023,,Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.052),Recently active (SHAP: +0.037),5500.0,238.0,TECH,
1516,2919,0.023,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,63106.0,UNKNOWN,
1517,205,0.023,,Strong web presence (low Alexa rank) (SHAP: +1.723),Company size signal (SHAP: +0.898),Accelerating usage growth (SHAP: +0.118),,7974995.0,RESTAURANTS,
1518,3495,0.023,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,69400.0,TECH,
1519,4364,0.023,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,69738.0,EDUCATION,
1520,1618,0.023,,Company size signal (SHAP: +0.656),Pct Actions Crm Companies 30D (SHAP: +0.028),High CONTACTS users (14d) (SHAP: +0.009),600.0,2135494.0,UNKNOWN,
1521,2776,0.023,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,70461.0,UNKNOWN,
1522,2967,0.023,,Accelerating ACTIONS trend (60d) (SHAP: +0.554),Pct Actions Crm Contacts 60D (SHAP: +0.220),Pct Actions Crm Companies 30D (SHAP: +0.057),8.0,899569.0,UNKNOWN,
1523,1209,0.023,,Accelerating ACTIONS trend (60d) (SHAP: +0.184),High session intensity (60d) (SHAP: +0.168),High CONTACTS actions (60d) (SHAP: +0.106),3.0,16000001.0,UNKNOWN,
1524,4621,0.023,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,71905.0,EDUCATION,
1525,2071,0.023,,Long time on free tier (SHAP: +1.400),Strong web presence (low Alexa rank) (SHAP: +0.245),Recently active (SHAP: +0.068),,16000001.0,UNKNOWN,
1526,2905,0.023,,Long time on free tier (SHAP: +1.400),Strong web presence (low Alexa rank) (SHAP: +0.245),Recently active (SHAP: +0.068),,16000001.0,UNKNOWN,
1527,3078,0.023,,Long time on free tier (SHAP: +1.400),Strong web presence (low Alexa rank) (SHAP: +0.245),Recently active (SHAP: +0.068),,16000001.0,UNKNOWN,
1528,3711,0.023,,Accelerating usage growth (SHAP: +0.057),High USERS users (7d) (SHAP: +0.045),Pct Actions Crm Companies 30D (SHAP: +0.023),1.0,1457217.0,MARKETING,
1529,1790,0.023,,Long active usage tenure (SHAP: +1.384),Broad multi-module adoption (SHAP: +0.957),Company size signal (SHAP: +0.172),8.0,16000001.0,USTEDES,
1530,1310,0.023,,Company size signal (SHAP: +0.778),Long active usage tenure (SHAP: +0.531),Strong web presence (low Alexa rank) (SHAP: +0.417),1.0,16000001.0,UNKNOWN,
1531,4975,0.023,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,226454.0,TECH,
1532,4754,0.022,,Accelerating usage growth (SHAP: +0.325),Pct Actions Crm Contacts 60D (SHAP: +0.043),Pct Actions Crm Companies 30D (SHAP: +0.029),8.0,1252933.0,REAL ESTATE,
1533,1189,0.022,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,76392.0,UNKNOWN,
1534,4139,0.022,,Strong web presence (low Alexa rank) (SHAP: +0.494),Company size signal (SHAP: +0.175),Pct Actions Crm Companies 30D (SHAP: +0.034),8.0,6866711.0,UNKNOWN,
1535,1360,0.022,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,233584.0,UNKNOWN,
1536,634,0.022,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,234089.0,COSMETICS,
1537,1528,0.022,,Long active usage tenure (SHAP: +1.184),Recently active (SHAP: +0.352),Pct Actions Crm Companies 30D (SHAP: +0.023),18.0,16000002.0,TECH,
1538,3826,0.022,,Accelerating usage growth (SHAP: +0.062),Recently active (SHAP: +0.061),High USERS users (7d) (SHAP: +0.049),3.0,125713.0,UNKNOWN,
1539,4883,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,70799.0,TECH,
1540,4781,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,70968.0,UNKNOWN,
1541,3036,0.022,,Pct Actions Crm Companies 30D (SHAP: +0.013),High CONTACTS users (14d) (SHAP: +0.005),,38.0,1482943.0,UNKNOWN,
1542,3084,0.022,,Accelerating ACTIONS trend (60d) (SHAP: +0.560),Strong web presence (low Alexa rank) (SHAP: +0.229),Recently active (SHAP: +0.107),3.0,16000001.0,UNKNOWN,
1543,3120,0.022,,Long active usage tenure (SHAP: +1.537),Accelerating ACTIONS trend (60d) (SHAP: +0.565),Recently active (SHAP: +0.119),38.0,16000001.0,UNKNOWN,
1544,3434,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,71914.0,EDUCATION,
1545,1169,0.022,,Long active usage tenure (SHAP: +0.973),Pct Actions Crm Companies 30D (SHAP: +0.025),Strong web presence (low Alexa rank) (SHAP: +0.016),3.0,16000001.0,UNKNOWN,
1546,601,0.022,,Accelerating usage growth (SHAP: +0.062),Recently active (SHAP: +0.061),High USERS users (7d) (SHAP: +0.049),3.0,128759.0,FINANCE,
1547,1134,0.022,,Strong web presence (low Alexa rank) (SHAP: +0.330),Recently active (SHAP: +0.116),Pct Actions Crm Contacts 60D (SHAP: +0.101),3.0,16000001.0,UNKNOWN,
1548,4287,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,72426.0,UNKNOWN,
1549,1337,0.022,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,81311.0,IT_SERVICES,
1550,1336,0.022,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,81311.0,IT_SERVICES,
1551,4876,0.022,,Long active usage tenure (SHAP: +1.674),Accelerating ACTIONS trend (60d) (SHAP: +0.227),Company size signal (SHAP: +0.196),,16000001.0,UNKNOWN,
1552,737,0.022,,Accelerating ACTIONS trend (60d) (SHAP: +0.641),Pct Actions Crm Companies 30D (SHAP: +0.021),High CONTACTS users (14d) (SHAP: +0.010),38.0,3258055.0,MARKETING,
1553,4021,0.022,,Accelerating usage growth (SHAP: +0.054),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.038),125.0,67155.0,TECH,
1554,352,0.022,,Long active usage tenure (SHAP: +1.566),Accelerating usage growth (SHAP: +0.167),High USERS users (7d) (SHAP: +0.069),38.0,16000001.0,UNKNOWN,
1555,777,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,74681.0,UNKNOWN,
1556,2838,0.022,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,83848.0,UNKNOWN,
1557,3372,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,75760.0,REAL ESTATE,
1558,3486,0.022,,Strong web presence (low Alexa rank) (SHAP: +0.212),Recently active (SHAP: +0.098),Pct Actions Crm Companies 30D (SHAP: +0.031),3.0,16000001.0,UNKNOWN,
1559,1441,0.022,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,261463.0,UNKNOWN,
1560,2413,0.022,,Accelerating usage growth (SHAP: +0.054),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.038),125.0,69494.0,EDUCATION,
1561,2260,0.022,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),,262167.0,UNKNOWN,
1562,2016,0.022,,Accelerating usage growth (SHAP: +0.054),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.038),125.0,69889.0,MARKETING,
1563,719,0.022,,Long time on free tier (SHAP: +1.551),Strong web presence (low Alexa rank) (SHAP: +0.076),Recently active (SHAP: +0.064),125.0,16000001.0,UNKNOWN,
1564,277,0.022,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,86837.0,EDUCATION,
1565,1573,0.022,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,87202.0,IT_SERVICES,
1566,2451,0.022,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,267823.0,UNKNOWN,
1567,844,0.022,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,87806.0,UNKNOWN,
1568,2579,0.022,,Long active usage tenure (SHAP: +1.059),Accelerating ACTIONS trend (60d) (SHAP: +0.442),High session intensity (60d) (SHAP: +0.055),3.0,16000001.0,UNKNOWN,
1569,4804,0.022,,Strong web presence (low Alexa rank) (SHAP: +2.367),Company size signal (SHAP: +0.798),Recent platform activity (SHAP: +0.257),,7569157.0,UNKNOWN,
1570,2689,0.022,,Strong web presence (low Alexa rank) (SHAP: +0.869),Company size signal (SHAP: +0.179),Accelerating usage growth (SHAP: +0.113),8.0,4288524.0,UNKNOWN,
1571,4274,0.022,,Long time on free tier (SHAP: +1.703),Recently active (SHAP: +0.396),Accelerating usage growth (SHAP: +0.358),8.0,16000001.0,UNKNOWN,
1572,374,0.022,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.026),8.0,272490.0,UNKNOWN,
1573,5092,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.045),Recently active (SHAP: +0.042),18.0,80805.0,COACHING BUSINESS SERVICES,
1574,1457,0.022,,Recently active (SHAP: +0.061),Accelerating usage growth (SHAP: +0.061),High USERS users (7d) (SHAP: +0.049),3.0,142817.0,UNKNOWN,
1575,4034,0.022,,Long active usage tenure (SHAP: +1.374),Strong web presence (low Alexa rank) (SHAP: +0.326),High session intensity (60d) (SHAP: +0.092),38.0,9570686.0,TELECOMMUNICATIONS,
1576,2530,0.022,,Strong web presence (low Alexa rank) (SHAP: +0.227),Broad multi-module adoption (SHAP: +0.129),High session intensity (60d) (SHAP: +0.083),8.0,16000001.0,UNKNOWN,
1577,2609,0.022,,Accelerating usage growth (SHAP: +0.054),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.038),125.0,72672.0,EDUCATION,
1578,914,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,80032.0,UNKNOWN,
1579,3825,0.022,,Company size signal (SHAP: +0.522),High USERS users (7d) (SHAP: +0.046),Pct Actions Crm Contacts 60D (SHAP: +0.046),600.0,103340.0,EDUCATION,
1580,4293,0.022,,Company size signal (SHAP: +0.840),Accelerating usage growth (SHAP: +0.124),High USERS users (7d) (SHAP: +0.049),600.0,91785.0,EDUCATION,
1581,3846,0.022,,High USERS users (7d) (SHAP: +0.042),Accelerating usage growth (SHAP: +0.034),Pct Actions Crm Companies 30D (SHAP: +0.023),125.0,1368785.0,CONSULTING,
1582,2469,0.022,,High USERS users (7d) (SHAP: +0.042),Accelerating usage growth (SHAP: +0.035),Pct Actions Crm Companies 30D (SHAP: +0.023),38.0,1518076.0,UNKNOWN,
1583,508,0.022,,Long active usage tenure (SHAP: +1.669),Company size signal (SHAP: +0.696),Strong web presence (low Alexa rank) (SHAP: +0.314),1.0,16000001.0,UNKNOWN,
1584,2055,0.022,,Long active usage tenure (SHAP: +0.784),Company size signal (SHAP: +0.777),Strong web presence (low Alexa rank) (SHAP: +0.527),1.0,16000001.0,UNKNOWN,
1585,1704,0.022,,Accelerating usage growth (SHAP: +0.068),High USERS users (7d) (SHAP: +0.051),Recently active (SHAP: +0.029),8.0,296896.0,TECH,
1586,1655,0.022,,Accelerating usage growth (SHAP: +0.055),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.040),38.0,84599.0,TECH,
1587,4007,0.022,,Long active usage tenure (SHAP: +1.200),Strong web presence (low Alexa rank) (SHAP: +0.179),Accelerating usage growth (SHAP: +0.117),3.0,16000001.0,UNKNOWN,
1588,3431,0.022,,Accelerating usage growth (SHAP: +0.054),High USERS users (7d) (SHAP: +0.044),Recently active (SHAP: +0.038),125.0,77816.0,CONSULTING,
1589,2333,0.022,,Long active usage tenure (SHAP: +1.828),Accelerating ACTIONS trend (60d) (SHAP: +0.512),High CONTACTS actions (60d) (SHAP: +0.273),125.0,3567525.0,EDUCATION,
1590,4929,0.022,,Strong web presence (low Alexa rank) (SHAP: +0.357),Pct Actions Crm Companies 30D (SHAP: +0.033),High CONTACTS users (14d) (SHAP: +0.008),125.0,6325215.0,UNKNOWN,
